host_since,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,reviews_per_month,n_bathrooms,bath_shared,emailhost_verification,phonehost_verification,photographerhost_verification,work_emailhost_verification,neighbourhood_cleansed_Arbutus Ridge,neighbourhood_cleansed_Downtown,neighbourhood_cleansed_Downtown Eastside,neighbourhood_cleansed_Dunbar Southlands,neighbourhood_cleansed_Fairview,neighbourhood_cleansed_Grandview-Woodland,neighbourhood_cleansed_Hastings-Sunrise,neighbourhood_cleansed_Kensington-Cedar Cottage,neighbourhood_cleansed_Kerrisdale,neighbourhood_cleansed_Killarney,neighbourhood_cleansed_Kitsilano,neighbourhood_cleansed_Marpole,neighbourhood_cleansed_Mount Pleasant,neighbourhood_cleansed_Oakridge,neighbourhood_cleansed_Renfrew-Collingwood,neighbourhood_cleansed_Riley Park,neighbourhood_cleansed_Shaughnessy,neighbourhood_cleansed_South Cambie,neighbourhood_cleansed_Strathcona,neighbourhood_cleansed_Sunset,neighbourhood_cleansed_Victoria-Fraserview,neighbourhood_cleansed_West End,neighbourhood_cleansed_West Point Grey,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_response_time_Unspecified,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,alarm_amenitie,dryer_amenitie,parking_amenitie,water_amenitie,coffee_amenitie,material_amenitie,grill_amenitie,wine_amenitie,backyard_amenitie,pool_amenitie
2018-08-21,False,True,True,49.21144,-123.06261,10,5.0,5.0,179.0,30,1125,30,30,1125,1125,30.0,1125.0,13,31,31,148,108,29,0,2020-05-03,2023-01-07,4.34,4.39,4.22,4.78,4.79,4.72,4.33,True,True,3.1,4.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2016-06-02,False,True,True,49.28368,-123.11152,4,2.0,2.0,175.0,30,365,30,30,1125,1125,30.0,1125.0,0,0,11,286,2,2,0,2022-08-12,2022-10-01,5.0,5.0,5.0,5.0,5.0,4.0,4.5,False,False,0.28,2.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
2016-01-28,False,True,False,49.28602,-123.05857,4,1.0,2.0,155.0,30,1125,30,30,1125,1125,30.0,1125.0,22,49,71,71,3,0,0,2020-06-07,2021-06-29,4.67,4.67,5.0,5.0,5.0,4.67,4.67,False,False,0.09,1.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-12-30,False,True,True,49.26789,-123.15407,2,1.0,1.0,150.0,2,20,2,2,1125,1125,2.0,1125.0,0,0,0,0,9,0,0,2020-04-11,2021-02-16,4.78,4.67,4.44,4.78,4.89,4.89,4.56,True,False,0.25,1.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2019-08-21,False,True,True,49.28405,-123.13174,5,2.0,3.0,149.0,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,0,0,0,1900-01-01,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,1.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-12,False,True,True,49.28804,-123.12926,2,1.0,1.0,110.0,30,1125,30,30,1125,1125,30.0,1125.0,0,0,0,0,0,0,0,1900-01-01,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,1.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-19,False,True,True,49.28107,-123.11649,5,1.0,2.0,199.0,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,3,0,0,2020-03-15,2020-03-19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,False,0.08,1.0,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2013-01-02,True,True,True,49.27915,-123.02589,4,2.0,2.0,122.0,3,27,3,3,1125,1125,3.0,1125.0,13,37,58,58,82,40,1,2020-12-13,2023-02-22,4.91,4.89,4.9,4.99,4.99,4.87,4.85,True,False,2.99,1.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2016-08-13,True,True,True,49.25238,-123.0259,7,2.0,4.0,122.0,2,1125,2,2,1125,1125,2.0,1125.0,2,13,39,39,127,52,3,2020-07-06,2023-03-07,4.88,4.93,4.9,4.95,4.98,4.83,4.9,True,False,3.88,1.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2014-04-03,True,True,True,49.27897,-123.10972,4,1.0,2.0,175.0,2,1125,2,2,1125,1125,2.0,1125.0,9,13,17,41,117,51,2,2020-05-14,2023-02-21,4.9,4.9,4.93,4.72,4.95,4.85,4.81,True,False,3.39,1.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2012-05-30,False,True,True,49.27807235717773,-123.12232971191406,2,1.0,2.0,110.0,30,1125,30,30,1125,1125,30.0,1125.0,5,24,54,329,3,3,0,2022-05-31,2023-01-03,4.67,4.0,4.67,4.67,4.67,4.67,3.67,False,False,0.31,1.0,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
